scenario_id,difficulty,family,schedule_exact,schedule_valid,position_accuracy,packet_precision,packet_recall,packet_f1,moved_exact,moved_abs_error,composite,policy
goalshield-medium-0018,medium,shield,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-medium-0018,medium,shield,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,2,0.133333,ignore_updates
goalshield-medium-0018,medium,shield,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,latest_visible_key
goalshield-medium-0019,medium,switch,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-medium-0019,medium,switch,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,2,0.133333,ignore_updates
goalshield-medium-0019,medium,switch,0.0,1.0,0.5,0.4,1.0,0.5714285714285715,1.0,0,0.285714,apply_all_packets
goalshield-medium-0019,medium,switch,0.0,1.0,0.5,0.5,1.0,0.6666666666666666,1.0,0,0.3,same_team_any_status
goalshield-medium-0019,medium,switch,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,0,0.95,latest_visible_key
goalshield-medium-0020,medium,shield,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-medium-0020,medium,shield,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,2,0.133333,ignore_updates
goalshield-medium-0020,medium,shield,0.0,1.0,0.3333333333333333,0.25,1.0,0.4,0.0,2,0.126667,apply_all_packets
goalshield-medium-0020,medium,shield,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.0,2,0.141667,same_team_any_status
goalshield-medium-0020,medium,shield,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1,0.133333,latest_visible_key
goalshield-medium-0021,medium,switch,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-medium-0021,medium,switch,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,2,0.133333,ignore_updates
goalshield-medium-0021,medium,switch,0.0,0.0,0.16666666666666666,0.4,1.0,0.5714285714285715,0.0,3,0.119048,apply_all_packets
goalshield-medium-0021,medium,switch,0.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.0,1,0.253333,same_team_any_status
goalshield-medium-0021,medium,switch,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1,0.066667,latest_visible_key
goalshield-medium-0022,medium,shield,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-medium-0022,medium,shield,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,2,0.133333,ignore_updates
goalshield-medium-0022,medium,shield,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,latest_visible_key
goalshield-medium-0023,medium,switch,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-medium-0023,medium,switch,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,2,0.133333,ignore_updates
goalshield-medium-0023,medium,switch,0.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.0,2,0.253333,same_team_any_status
goalshield-medium-0023,medium,switch,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0,0.2,latest_visible_key
goalshield-medium-0024,medium,shield,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-medium-0024,medium,shield,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3,0.1,ignore_updates
goalshield-medium-0024,medium,shield,0.0,1.0,0.16666666666666666,0.25,1.0,0.4,0.0,1,0.093333,apply_all_packets
goalshield-medium-0024,medium,shield,0.0,1.0,0.16666666666666666,0.25,1.0,0.4,0.0,1,0.093333,same_team_any_status
goalshield-medium-0024,medium,shield,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.85,latest_visible_key
goalshield-medium-0025,medium,switch,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
